City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,ofunato,39.07,141.72,75.2,47,75,5.82,JP,1590463696
238,touros,-5.2,-35.46,75.2,100,20,3.36,BR,1590463696
239,san vicente,-26.62,-54.13,44.8,99,0,2.46,AR,1590463696
240,poum,-20.23,164.02,76.42,59,8,18.01,NC,1590463696
241,bandarbeyla,9.49,50.81,83.57,72,75,18.43,SO,1590463697
242,coracora,-15.03,-73.78,52.88,50,23,7.27,PE,1590463697
243,ereymentau,51.62,73.1,81.79,36,29,11.32,KZ,1590463697
244,isangel,-19.55,169.27,82.4,69,75,16.11,VU,1590463697
245,qinzhou,21.95,108.62,81.14,70,100,11.7,CN,1590463698
246,bentiu,9.23,29.83,76.71,75,93,1.14,SS,1590463698
247,urucara,-2.54,-57.76,74.32,95,89,1.12,BR,1590463698
248,zhangye,38.93,100.45,64.04,30,100,10.87,CN,1590463698
249,grand gaube,-20.01,57.66,75.0,70,81,8.99,MU,1590463699
250,lere,10.39,8.57,73.78,79,99,3.18,NG,1590463699
251,komsomolskiy,40.43,71.72,84.2,26,0,4.7,UZ,1590463699
252,kabo,7.7,18.63,73.85,94,100,4.56,CF,1590463699
253,sembe,1.65,14.58,71.01,92,97,1.41,CG,1590463699
254,kavaratti,10.57,72.64,87.8,74,20,4.7,IN,1590463700
255,port elizabeth,-33.92,25.57,50.0,87,90,20.8,ZA,1590463700
256,port hedland,-20.32,118.57,73.4,49,5,21.92,AU,1590463700
257,manbij,36.53,37.95,53.6,81,0,3.36,SY,1590463700
258,bourail,-21.57,165.48,77.27,41,41,3.91,NC,1590463701
259,shitanjing,39.23,106.34,72.0,25,3,4.0,CN,1590463701
260,belomorsk,64.52,34.77,45.37,68,92,5.39,RU,1590463701
261,oussouye,12.48,-16.55,75.2,94,75,6.93,SN,1590463701
262,shizunai,42.33,142.37,55.69,78,71,12.82,JP,1590463701
263,havoysund,71.0,24.66,46.4,75,2,6.93,NO,1590463702
264,victoria,22.29,114.16,91.0,75,40,12.75,HK,1590463502
265,jasper,37.2,-94.35,68.0,88,90,14.99,US,1590463702
266,dunkirk,51.05,2.37,51.01,90,16,4.63,FR,1590463702
267,mao,39.89,4.27,60.8,100,0,6.93,ES,1590463703
268,sergeyevka,53.88,67.42,57.43,63,0,12.88,KZ,1590463703
269,tombouctou,20.0,-3.0,85.39,14,0,8.79,ML,1590463703
270,fort nelson,58.81,-122.7,59.0,41,75,10.29,CA,1590463605
271,bibiani,6.46,-2.32,69.49,100,100,0.67,GH,1590463703
272,sibolga,1.74,98.78,81.9,74,93,1.77,ID,1590463645
273,methven,-43.63,171.65,57.99,59,7,2.55,NZ,1590463704
274,necochea,-38.55,-58.74,51.01,88,99,14.0,AR,1590463704
275,beaufort,5.35,115.75,89.6,70,75,3.36,MY,1590463704
276,gunjur,13.2,-16.73,69.8,100,75,9.17,GM,1590463705
277,caravelas,-17.71,-39.25,74.84,94,96,7.74,BR,1590463705
278,bara,10.37,10.73,76.59,77,1,7.85,NG,1590463705
279,lagoa,39.05,-27.98,63.9,90,0,17.52,PT,1590463705
280,dukat,62.55,155.55,36.07,79,43,6.02,RU,1590463705
281,alofi,-19.06,-169.92,78.8,65,34,12.66,NU,1590463706
282,nombre de dios,23.85,-104.23,71.01,45,23,8.99,MX,1590463706
283,danjiangkou,32.54,111.51,80.01,13,60,7.34,CN,1590463706
284,borogontsy,62.67,131.17,77.74,25,88,7.58,RU,1590463706
285,krasnyy chikoy,50.36,108.75,69.64,37,13,2.37,RU,1590463707
286,nusaybin,37.08,41.22,60.39,50,0,7.45,TR,1590463707
287,mzimba,-11.9,33.6,58.84,92,10,6.89,MW,1590463707
288,carahue,-38.7,-73.17,46.4,100,90,0.76,CL,1590463707
289,kerema,-7.96,145.78,81.93,80,100,5.26,PG,1590463707
290,northam,51.03,-4.22,50.0,92,94,1.99,GB,1590463708
291,kumba,4.64,9.45,72.77,97,100,0.76,CM,1590463708
292,antalaha,-14.9,50.28,68.97,83,1,6.44,MG,1590463708
293,tayu,-6.54,111.05,87.53,66,97,5.37,ID,1590463708
294,svidnik,49.31,21.57,46.99,99,32,5.88,SK,1590463709
295,geraldton,-28.77,114.6,62.6,72,75,6.93,AU,1590463709
296,nouadhibou,20.93,-17.03,69.8,77,0,12.75,MR,1590463709
297,luganville,-15.53,167.17,78.8,88,75,8.05,VU,1590463709
298,jacmel,18.23,-72.53,84.2,66,89,13.87,HT,1590463709
299,juazeiro,-9.41,-40.5,78.8,78,76,6.93,BR,1590463545
300,liverpool,53.41,-2.98,55.99,66,94,6.93,GB,1590463710
301,acarau,-2.89,-40.12,77.18,86,0,5.79,BR,1590463456
302,waingapu,-9.66,120.26,85.15,68,74,3.94,ID,1590463710
303,hope,33.67,-93.59,75.0,78,100,4.0,US,1590463710
304,chicama,-7.84,-79.15,68.83,79,88,3.13,PE,1590463711
305,kumo,10.04,11.21,76.98,77,55,5.32,NG,1590463711
306,santa isabel do rio negro,-0.41,-65.02,73.96,95,8,1.68,BR,1590463711
307,stykkisholmur,65.08,-22.73,42.53,88,100,4.97,IS,1590463711
308,mogadishu,2.04,45.34,80.17,85,22,12.64,SO,1590463711
309,zabol,32.25,67.25,74.19,18,0,3.47,AF,1590463712
310,ribeira grande,38.52,-28.7,64.56,89,36,15.39,PT,1590463712
311,sao joao da barra,-21.64,-41.05,71.6,88,3,8.75,BR,1590463712
312,beringovskiy,63.05,179.32,33.3,94,100,8.39,RU,1590463712
313,salym,60.06,71.48,43.11,91,100,16.04,RU,1590463713
314,saint george,37.1,-113.58,81.0,10,1,14.99,US,1590463671
315,marsh harbour,26.54,-77.06,76.35,88,100,18.81,BS,1590463713
316,pisco,-13.7,-76.22,64.4,88,90,8.05,PE,1590463713
317,eureka,40.8,-124.16,59.0,54,5,3.0,US,1590463464
318,bud,39.45,-86.18,75.99,87,0,6.4,US,1590463714
319,bose,45.46,8.01,60.01,72,0,3.31,IT,1590463714
320,ola,59.58,151.28,42.93,70,57,6.71,RU,1590463714
321,praya,14.92,-23.51,69.8,83,20,3.36,CV,1590463714
322,san cristobal,7.77,-72.22,68.7,88,98,3.83,VE,1590463714
323,riachao,-7.36,-46.62,73.94,88,100,3.69,BR,1590463715
324,makakilo city,21.35,-158.09,80.6,65,75,5.82,US,1590463715
325,portland,45.52,-122.68,64.4,77,75,1.01,US,1590463715
326,huilong,31.81,121.66,66.0,91,100,3.0,CN,1590463715
327,kalabo,-14.97,22.68,57.97,63,0,1.5,ZM,1590463715
328,tlaquepaque,20.65,-103.32,77.0,17,20,8.05,MX,1590463716
329,saldanha,-33.01,17.94,50.0,87,57,2.24,ZA,1590463716
330,calamar,10.25,-74.91,79.52,89,100,2.98,CO,1590463716
331,lavrentiya,65.58,-171.0,34.5,94,95,4.76,RU,1590463716
332,nantucket,41.28,-70.1,55.4,100,90,3.36,US,1590463494
333,helena,46.59,-112.04,61.0,46,100,8.01,US,1590463473
334,esperance,-33.87,121.9,51.8,93,90,20.8,AU,1590463717
335,raahe,64.68,24.48,46.4,93,1,2.24,FI,1590463717
336,odweyne,9.41,45.06,73.38,73,6,11.63,SO,1590463506
337,catuday,16.29,119.81,86.07,69,50,6.85,PH,1590463718
338,rosarito,32.33,-117.03,68.0,77,1,6.93,MX,1590463718
339,aguimes,27.91,-15.45,69.01,82,20,20.8,ES,1590463718
340,menongue,-14.66,17.69,53.17,61,0,2.1,AO,1590463718
341,inirida,3.87,-67.92,74.46,97,93,2.08,CO,1590463718
342,nynashamn,58.9,17.95,45.0,48,0,4.92,SE,1590463719
343,arlit,18.74,7.39,89.1,22,94,6.24,NE,1590463719
344,bosobolo,4.18,19.9,71.94,96,100,1.19,CD,1590463719
345,villers-le-bouillet,50.58,5.26,51.8,81,1,3.36,BE,1590463719
346,mindelo,16.89,-24.98,69.8,83,12,3.36,CV,1590463720
347,iwanai,42.97,140.51,62.38,60,34,5.28,JP,1590463720
348,katherine,-14.47,132.27,84.2,35,79,5.82,AU,1590463720
349,boden,65.83,21.69,50.0,66,0,4.7,SE,1590463721
350,college,64.86,-147.8,55.4,66,90,8.05,US,1590463721
351,kiama,-34.68,150.87,64.0,92,89,3.0,AU,1590463721
352,marinette,45.1,-87.63,69.8,88,1,5.82,US,1590463721
353,nuuk,64.18,-51.72,32.0,95,100,23.04,GL,1590463722
354,deputatskiy,69.3,139.9,42.48,81,100,5.32,RU,1590463722
355,saint-francois,46.42,3.91,50.0,87,0,3.47,FR,1590463722
356,payo,-3.75,103.64,83.64,75,94,3.15,ID,1590463722
357,coahuayana,18.73,-103.68,69.21,80,0,1.16,MX,1590463723
358,santa maria,-29.68,-53.81,57.2,76,75,6.93,BR,1590463692
359,moyo,3.66,31.72,65.43,99,33,1.59,UG,1590463723
360,yerbogachen,61.28,108.01,59.56,59,76,16.37,RU,1590463723
361,taoudenni,22.68,-3.98,86.43,20,0,3.11,ML,1590463723
362,sarkand,45.41,79.92,80.51,24,0,4.97,KZ,1590463724
363,matveyevka,52.15,56.18,57.2,58,0,17.9,RU,1590463724
364,sukhobuzimskoye,56.5,93.27,62.6,63,40,11.18,RU,1590463724
365,port macquarie,-31.43,152.92,64.4,88,75,17.22,AU,1590463724
366,westport,41.14,-73.36,57.99,93,90,6.93,US,1590463725
367,solnechnyy,50.72,136.63,65.88,27,54,5.53,RU,1590463725
368,pailon,-17.65,-62.75,57.2,87,0,5.82,BO,1590463725
369,lesnoye,58.28,35.52,47.75,80,3,2.17,RU,1590463725
370,bozhou,33.88,115.77,82.96,39,55,10.11,CN,1590463725
371,sault sainte marie,46.52,-84.33,66.2,82,90,5.82,CA,1590463726
372,mattru,7.62,-11.83,75.65,97,7,1.68,SL,1590463726
373,makat,47.65,53.35,78.01,45,0,11.63,KZ,1590463726
374,channel-port aux basques,47.57,-59.14,39.7,72,0,5.19,CA,1590463726
375,ust-labinsk,45.21,39.69,55.4,93,75,6.71,RU,1590463727
376,strezhevoy,60.73,77.59,51.8,57,40,11.18,RU,1590463727
377,ilulissat,69.22,-51.1,28.4,86,99,2.51,GL,1590463727
378,carballo,43.21,-8.69,57.0,75,0,7.0,ES,1590463727
379,rajampet,14.18,79.17,93.58,46,0,6.91,IN,1590463727
380,sao miguel do tapuio,-5.5,-41.32,71.62,91,25,3.24,BR,1590463728
381,teguise,29.06,-13.56,68.0,82,0,11.77,ES,1590463728
382,hede,33.77,120.25,79.61,45,69,7.43,CN,1590463728
383,taman,45.21,36.72,53.6,100,85,2.24,RU,1590463728
384,namibe,-15.2,12.15,68.29,73,0,4.97,AO,1590463728
